iter	Passed	Remaining
0	51	154651
1	95	142706
2	140	140538
3	209	156903
4	266	159532
5	336	167950
6	391	167273
7	445	166742
8	507	168521
9	560	167684
10	613	166575
11	677	168655
12	739	169810
13	809	172598
14	868	172869
15	912	170238
16	955	167645
17	1007	166965
18	1049	164635
19	1098	163718
20	1146	162699
21	1187	160774
22	1232	159531
23	1274	157981
24	1322	157415
25	1364	156041
26	1401	154290
27	1438	152687
28	1488	152507
29	1533	151768
30	1575	150927
31	1622	150469
32	1668	150043
33	1706	148883
34	1742	147634
35	1778	146451
36	1828	146461
37	1871	145871
38	1914	145390
39	1956	144760
40	2008	144961
41	2049	144370
42	2094	144061
43	2143	144034
44	2180	143212
45	2220	142618
46	2258	141876
47	2296	141204
48	2342	141098
49	2379	140392
50	2416	139738
51	2457	139315
52	2498	138921
53	2538	138473
54	2573	137777
55	2610	137243
56	2656	137166
57	2691	136521
58	2727	135964
59	2764	135443
60	2806	135222
61	2843	134729
62	2879	134242
63	2914	133703
64	2955	133473
65	2991	132965
66	3026	132479
67	3062	132037
68	3098	131608
69	3145	131665
70	3188	131542
71	3229	131341
72	3280	131537
73	3321	131331
74	3364	131221
75	3405	131028
76	3456	131211
77	3500	131146
78	3542	130975
79	3585	130888
80	3638	131135
81	3678	130902
82	3720	130768
83	3771	130914
84	3815	130862
85	3853	130558
86	3889	130235
87	3935	130229
88	3971	129882
89	4010	129674
90	4047	129394
91	4086	129171
92	4128	129046
93	4165	128767
94	4201	128482
95	4242	128348
96	4283	128207
97	4321	127960
98	4361	127794
99	4398	127547
100	4438	127404
101	4475	127147
102	4506	126753
103	4542	126489
104	4582	126349
105	4619	126130
106	4658	125948
107	4700	125861
108	4743	125808
109	4849	127408
110	4900	127542
111	4945	127528
112	4990	127496
113	5033	127424
114	5080	127448
115	5127	127473
116	5178	127615
117	5218	127465
118	5259	127322
119	5311	127479
120	5352	127358
121	5397	127331
122	5439	127220
123	5486	127261
124	5524	127074
125	5562	126885
126	5607	126849
127	5654	126872
128	5695	126756
129	5740	126723
130	5779	126568
131	5830	126681
132	5875	126650
133	5918	126584
134	5962	126528
135	6006	126490
136	6047	126374
137	6086	126238
138	6136	126309
139	6175	126158
140	6213	125987
141	6256	125925
142	6306	126003
143	6349	125935
144	6392	125857
145	6440	125890
146	6501	126175
147	6550	126225
148	6597	126241
149	6644	126236
150	6690	126228
151	6733	126172
152	6770	125986
153	6805	125767
154	6845	125640
155	6883	125495
156	6918	125289
157	6957	125143
158	6994	124980
159	7040	124968
160	7077	124803
161	7115	124647
162	7158	124590
163	7199	124497
164	7236	124341
165	7272	124156
166	7310	124019
167	7356	124012
168	7396	123908
169	7436	123798
170	7478	123716
171	7530	123819
172	7570	123703
173	7611	123623
174	7661	123683
175	7705	123633
176	7741	123475
177	7777	123309
178	7820	123249
179	7856	123085
180	7892	122918
181	7922	122668
182	7955	122469
183	7999	122428
184	8035	122271
185	8070	122100
186	8105	121936
187	8149	121889
188	8184	121733
189	8222	121599
190	8260	121491
191	8299	121384
192	8340	121298
193	8376	121157
194	8410	120975
195	8443	120800
196	8486	120743
197	8523	120618
198	8558	120467
199	8595	120330
200	8637	120286
201	8675	120173
202	8708	119986
203	8740	119796
204	8774	119639
205	8815	119571
206	8852	119446
207	8894	119394
208	8930	119262
209	8975	119251
210	9011	119109
211	9047	118986
212	9084	118863
213	9124	118790
214	9161	118669
215	9192	118480
216	9228	118353
217	9264	118233
218	9308	118204
219	9345	118097
220	9382	117981
221	9420	117879
222	9464	117864
223	9502	117764
224	9538	117641
225	9573	117505
226	9610	117403
227	9648	117300
228	9684	117187
229	9720	117068
230	9762	117020
231	9798	116903
232	9833	116783
233	9872	116697
234	9919	116707
235	9957	116623
236	9993	116511
237	10032	116427
238	10070	116339
239	10120	116388
240	10159	116302
241	10197	116216
242	10232	116091
243	10275	116057
244	10313	115973
245	10350	115874
246	10386	115769
247	10426	115696
248	10466	115639
249	10503	115535
250	10538	115423
251	10575	115321
252	10620	115318
253	10659	115235
254	10695	115132
255	10733	115049
256	10775	115010
257	10813	114927
258	10849	114816
259	10885	114711
260	10930	114703
261	10964	114588
262	11001	114487
263	11036	114379
264	11080	114362
265	11116	114254
266	11151	114150
267	11189	114065
268	11227	113988
269	11271	113969
270	11306	113858
271	11340	113734
272	11377	113648
273	11421	113631
274	11459	113555
275	11496	113465
276	11531	113355
277	11569	113281
278	11608	113210
279	11642	113095
280	11678	113006
281	11714	112909
282	11760	112908
283	11795	112802
284	11831	112707
285	11867	112614
286	11910	112586
287	11945	112483
288	11981	112392
289	12019	112318
290	12055	112232
291	12100	112220
292	12137	112137
293	12172	112038
294	12209	111954
295	12252	111924
296	12290	111859
297	12329	111790
298	12364	111694
299	12410	111696
300	12446	111608
301	12484	111532
302	12523	111470
303	12576	111535
304	12618	111497
305	12657	111437
306	12705	111453
307	12744	111393
308	12781	111306
309	12820	111245
310	12856	111162
311	12896	111106
312	12935	111047
313	12972	110968
314	13006	110868
315	13050	110844
316	13082	110729
317	13117	110630
318	13154	110551
319	13191	110482
320	13233	110448
321	13269	110355
322	13304	110267
323	13344	110215
324	13389	110202
325	13425	110124
326	13464	110065
327	13503	110000
328	13545	109973
329	13582	109896
330	13619	109817
331	13655	109737
332	13703	109750
333	13829	110389
334	13866	110308
335	13913	110314
336	13950	110239
337	13986	110154
338	14021	110062
339	14064	110036
340	14100	109948
341	14134	109854
342	14172	109787
343	14209	109707
344	14255	109703
345	14292	109633
346	14328	109547
347	14363	109456
348	14404	109415
349	14441	109346
350	14476	109251
351	14513	109178
352	14554	109141
353	14590	109060
354	14628	108990
355	14665	108921
356	14712	108923
357	14749	108848
358	14786	108776
359	14824	108711
360	14866	108678
361	14901	108590
362	14938	108521
363	14975	108450
364	15010	108362
365	15053	108338
366	15090	108262
367	15125	108178
368	15163	108117
369	15208	108103
370	15239	107992
371	15276	107923
372	15312	107847
373	15351	107785
374	15392	107744
375	15426	107657
376	15462	107583
377	15499	107510
378	15547	107516
379	15583	107442
380	15618	107363
381	15655	107292
382	15699	107271
383	15735	107198
384	15769	107111
385	15805	107032
386	15847	107004
387	15890	106976
388	15929	106922
389	15967	106862
390	16010	106831
391	16047	106766
392	16083	106688
393	16121	106630
394	16166	106613
395	16205	106565
396	16240	106486
397	16276	106408
398	16311	106334
399	16360	106340
400	16394	106260
401	16435	106219
402	16474	106165
403	16518	106143
404	16556	106082
405	16588	105986
406	16627	105934
407	16666	105879
408	16708	105849
409	16743	105772
410	16780	105704
411	16815	105629
412	16859	105604
413	16893	105524
414	16930	105459
415	16966	105388
416	17001	105314
417	17044	105286
418	17082	105225
419	17116	105144
420	17151	105069
421	17195	105046
422	17230	104973
423	17266	104899
424	17299	104816
425	17338	104762
426	17376	104708
